School_Name,Suburb,VCE_Students,VCE_Completion%,VCE_Median,VCE_Over40%,Postcode,City
Centre for Adult Education,MELBOURNE,238,81,25,1.9,3000,MELBOURNE CITY
Centre for Adult Education,MELBOURNE,238,81,25,1.9,3001,MELBOURNE CITY
Centre for Adult Education,MELBOURNE,238,81,25,1.9,3004,MELBOURNE CITY
Chaffey Secondary College,MILDURA,0,0,0,0,3500,VIC FAR COUNTRY
Chaffey Secondary College,MILDURA,0,0,0,0,3502,VIC FAR COUNTRY
Chairo Christian School,DROUIN,146,100,29,4.8,3818,VIC COUNTRY
Charles La Trobe P-12 College,MACLEOD WEST,42,92,27,0,3085,HAWTHORN
Charles La Trobe P-12 College,PRESTON,32,0,0,0,3072,PRESTON
Charlton College,CHARLTON,22,100,32,8.1,3525,VIC FAR COUNTRY
Cheltenham Secondary College,CHELTENHAM,226,99,29,6.2,3192,DANDENONG
Chisholm Institute of TAFE,DANDENONG,192,78,21,0.8,3175,DANDENONG
Chisholm Institute of TAFE,FRANKSTON,100,82,25,0,3199,FRANKSTON
Christian Brothers College,ST KILDA EAST,87,98,30,5.1,3183,MOORABBIN
Christian College Institute,WAURN PONDS,264,100,31,9,3216,VIC COUNTRY
Cire Community School,YARRA JUNCTION,9,0,0,0,3797,RINGWOOD
Clonard College,GEELONG WEST,191,100,30,4.9,3218,VIC COUNTRY
Cobden Technical School,COBDEN,68,89,22,0,3266,VIC FAR COUNTRY
Cobram Anglican Grammar School,COBRAM,22,100,26,3.1,3643,VIC FAR COUNTRY
Cobram Anglican Grammar School,COBRAM,22,100,26,3.1,3644,VIC FAR COUNTRY
Cobram Secondary College,COBRAM,87,98,27,2.4,3643,VIC FAR COUNTRY
Cobram Secondary College,COBRAM,87,98,27,2.4,3644,VIC FAR COUNTRY
Coburg Senior High School,COBURG,10,100,30,8,3058,PRESTON
Cohuna Secondary College,COHUNA,65,97,27,4.3,3568,VIC FAR COUNTRY
Colac Secondary College Hearn,COLAC,79,98,23,0,3250,VIC FAR COUNTRY
Collingwood College,COLLINGWOOD,73,96,26,3.2,3066,MELBOURNE CITY
Copperfield College,DELAHEY,363,97,29,2.1,3037,HAWTHORN
Cornish College,BANGHOLME,78,100,29,4.7,3175,DANDENONG
Corryong College,CORRYONG,38,100,29,2.2,3707,VIC FAR COUNTRY
Covenant College,BELL POST HILL,76,100,31,7.5,3215,VIC COUNTRY
Craigieburn Secondary College,CRAIGIEBURN,179,94,26,1.9,3064,MELB NORTH WEST
Cranbourne East Secondary College,CRANBOURNE EAST,194,93,28,2.9,3977,FRANKSTON
Cranbourne Secondary College,CRANBOURNE,171,99,28,3.4,3977,FRANKSTON
Croydon Community School,CROYDON,7,0,0,0,3136,RINGWOOD
Damascus College,MOUNT CLEAR,184,100,28,5.7,3350,VIC COUNTRY
Dandenong High School,DANDENONG,437,94,24,0.5,3175,DANDENONG
Darul Ulum College of Victoria,FAWKNER,93,94,27,1.3,3060,PRESTON
