School_Name,Suburb,VCE_Students,VCE_Completion%,VCE_Median,VCE_Over40%
Mansfield Secondary College,Mansfield,82,98,27,0.5
Maranatha Christian School,Endeavour Hills,123,100,31,8
Marcellin College,Bulleen,291,100,30,7.5
Marian College,Ararat,96,98,27,4.2
Marian College,Myrtleford,53,100,27,0
Marian College,Sunshine West,189,97,29,4.1
Maribyrnong Secondary College,Maribyrnong,224,95,29,5.8
Marist Sion College,Warragul,150,98,29,6
Mary MacKillop Catholic College,Leongatha,111,98,30,4.9
Maryborough Education Centre,Maryborough,111,90,24,1.2
Marymede Catholic College,South Morang,162,99,30,4.7
Mater Christi College,Belgrave,225,100,32,10.9
Matthew Flinders Girls Secondary College,Geelong,158,99,26,1.8
Mazenod College,Mulgrave,414,100,32,10.9
McClelland Secondary College,Frankston,152,98,29,3.8
McGuire College,Shepparton,98,94,24,3.3
McKinnon Secondary College,McKinnon,530,100,33,17.3
Melba Secondary College,Croydon,109,96,28,4.1
Melbourne City Mission,South Melbourne,4,0,0,0
Melbourne Girls College,Richmond,381,100,33,14.6
Melbourne Girls Grammar,South Yarra,193,100,36,28.6
Melbourne Grammar School,Melbourne,379,100,34,22.8
Melbourne High School,South Yarra,686,100,36,30.6
Melbourne Polytechnic,Preston,79,0,0,0
Melbourne Rudolf Steiner School,Warranwood,60,100,31,6.7
Melton Christian College,Melton South,62,96,26,0.7
Melton Secondary College,Melton,159,94,27,4.4
Mentone Girls Grammar School,Mentone,168,99,34,20.9
Mentone Girls Secondary College,Mentone,329,100,31,9.2
Mentone Grammar School,Mentone,264,99,35,21.2
Mercy College,Coburg,126,98,29,4
Mercy Regional College,Camperdown,148,98,28,1.7
Merinda Park Learning Centre,Cranbourne,0,0,0,0
Methodist Ladies College,Kew,384,100,36,28.3
Mildura Senior College,Mildura,548,95,27,2.1
Mill Park Secondary College,Epping,431,95,25,2.2
Minaret College,Officer,45,100,25,0.9
Minaret College,Springvale,156,100,27,4.7
Mirboo North Secondary College,Mirboo North,72,100,29,1.5
Monbulk College,Monbulk,86,98,29,5.7
Monivae College,Hamilton,109,100,29,2.9
Monterey Secondary College,Frankston North,51,92,22,0
Montmorency Secondary College,Montmorency,122,98,29,5.9
Mooroolbark College,Mooroolbark,203,97,27,2.5
